date,weekday,marketingcost
180909,일,"₩11,899,762"
180910,월,"₩11,807,577"
180911,화,"₩11,902,422"
180912,수,"₩11,115,537"
180913,목,"₩11,504,568"
180914,금,"₩11,024,690"
180915,토,"₩11,712,691"
180916,일,"₩12,152,688"
180917,월,"₩13,616,220"
180918,화,"₩14,016,977"
180919,수,"₩14,240,564"
180920,목,"₩15,136,397"
180921,금,"₩15,462,712"
180922,토,"₩14,518,299"
180923,일,"₩13,798,300"
180924,월,"₩14,670,765"
180925,화,"₩14,839,620"
180926,수,"₩14,153,613"
180927,목,"₩13,856,828"
180928,금,"₩13,894,586"
180929,토,"₩14,328,938"
180930,일,"₩16,245,680"
181001,월,"₩15,602,369"
181002,화,"₩14,437,001"
181003,수,"₩14,301,087"
181004,목,"₩13,777,899"
181005,금,"₩14,110,177"
181006,토,"₩14,781,636"
181007,일,"₩14,466,617"
181008,월,"₩12,063,421"
181009,화,"₩12,733,360"
181010,수,"₩12,554,143"
181011,목,"₩12,999,401"
181012,금,"₩13,865,860"
181013,토,"₩15,273,931"
181014,일,"₩16,610,030"
181015,월,"₩16,951,221"
181016,화,"₩17,137,492"
181017,수,"₩17,587,007"
181018,목,"₩17,291,113"
181019,금,"₩16,584,516"
181020,토,"₩18,201,656"
181021,일,"₩18,336,207"
181022,월,"₩17,927,559"
181023,화,"₩17,464,654"
181024,수,"₩17,765,921"
181025,목,"₩17,215,684"
181026,금,"₩18,605,270"
181027,토,"₩17,186,762"
181028,일,"₩16,782,920"
181029,월,"₩16,729,070"
181030,화,"₩16,725,312"
181031,수,"₩20,845,415"
181101,목,"₩34,793,204"
181102,금,"₩35,320,337"
181103,토,"₩31,927,254"
181104,일,"₩31,151,659"
181105,월,"₩29,842,347"
181106,화,"₩28,363,313"
181107,수,"₩20,210,681"
